class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.8;0.8;0.8
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.18333333333333332;0.3;0.13333333333333333
R/Bacterial/Streptococcus;0.3119047619047619;0.41666666666666663;0.26166666666666666
R/Fungal/Pneumocystis;0.10976190476190475;0.22000000000000003;0.07499999999999998
R/Lipoid/Non applicable;0.27999999999999997;0.4333333333333333;0.2111111111111111
R/Normal;0.13921139085735057;0.1619047619047619;0.12216666666666667
R/Viral/COVID-19;0.06799591063783243;0.11388888888888889;0.04860745614035088
R/Viral/SARS;0.31238095238095237;0.4333333333333333;0.25277777777777777
