class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6666666666666667;0.7;0.65
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.4133333333333333;0.5;0.36666666666666664
R/Bacterial/Streptococcus;0.12999999999999998;0.2833333333333333;0.08916666666666666
R/Fungal/Pneumocystis;0.05333333333333333;0.15666666666666665;0.032777777777777774
R/Lipoid/Non applicable;0.11666666666666665;0.2333333333333333;0.07777777777777778
R/Normal;0.36210708889439464;0.3666666666666666;0.35766666666666663
R/Viral/COVID-19;0.11220489210987734;0.13571428571428573;0.09572407581453632
R/Viral/SARS;0.13333333333333333;0.26666666666666666;0.08888888888888888
