class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.5333333333333333;0.6;0.5
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.3333333333333333;0.4;0.3
R/Bacterial/Streptococcus;0.24253968253968253;0.36666666666666664;0.19
R/Fungal/Pneumocystis;0.062142857142857146;0.18;0.03833333333333333
R/Lipoid/Non applicable;0.3833333333333333;0.5;0.3333333333333333
R/Normal;0.1838020558199595;0.19666666666666666;0.17258333333333334
R/Viral/COVID-19;0.05056139170242504;0.11388888888888889;0.03283747563352827
R/Viral/SARS;0.34;0.45;0.2791666666666667
