class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333333;0.8;0.7
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Bacterial/Streptococcus;0.11555555555555555;0.2333333333333333;0.08
R/Fungal/Pneumocystis;0.0;0.0;0.0
R/Lipoid/Non applicable;0.05;0.1;0.03333333333333333
R/Normal;0.3151339260380962;0.36666666666666664;0.2765833333333333
R/Viral/COVID-19;0.0;0.0;0.0
R/Viral/SARS;0.42000000000000004;0.5333333333333333;0.3722222222222222
