resampling_strategy;resampling_algorithm;hp;hr;hf
none;none;0.33696592156309096;0.47429385964912285;0.31746990631413524
flat;ros;0.3037978016574668;0.43325633528265106;0.2822554781880322
flat;smote;0.2922649686103697;0.44598879142300196;0.2897722612091489
flat;borderline;0.31289794683803623;0.4245618908382066;0.3156057445725685
flat;adasyn;0.3194100888562704;0.45184990253411306;0.30970702073334105
flat;smote-enn;0.3091015879248325;0.45211793372319686;0.3038971104733089
flat;smote-tomek;0.29289461677017925;0.4734580896686159;0.297406659471858
