resampling_strategy;resampling_algorithm;hp;hr;hf
none;none;0.34240757274688444;0.2991739766081871;0.3080219000202937
flat;ros;0.40251721778001104;0.46270662768031184;0.4053029992451357
flat;smote;0.3358736565521364;0.4968460038986355;0.3640534738638996
flat;borderline;0.3133130337402673;0.43076900584795325;0.3312012822814111
flat;adasyn;0.3218972566340579;0.48753167641325534;0.34555880851581566
flat;smote-enn;0.3511650843466868;0.5350131578947368;0.37445449946247733
flat;smote-tomek;0.33921335747276943;0.4886734892787524;0.359671491714439
