class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333334;0.8;0.7
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.3833333333333333;0.5;0.33333333333333337
R/Bacterial/Streptococcus;0.16444444444444445;0.31666666666666665;0.11333333333333333
R/Fungal/Pneumocystis;0.146031746031746;0.2833333333333333;0.10277777777777777
R/Lipoid/Non applicable;0.5;0.5666666666666667;0.4722222222222222
R/Normal;0.24038394355579268;0.2452380952380952;0.23575
R/Viral/COVID-19;0.08232554744843776;0.11666666666666665;0.06392117446393762
R/Viral/SARS;0.2957142857142857;0.4;0.24166666666666664
