resampling_strategy;resampling_algorithm;hp;hr;hf
none;none;0.2930975268253467;0.2525916179337232;0.2600465387512125
flat;ros;0.3120580051369964;0.5163011695906432;0.3249001949684541
flat;smote;0.3338217810555719;0.4400638401559454;0.32273158876835395
flat;borderline;0.31326004542168173;0.4398879142300195;0.3206667201151571
flat;adasyn;0.31210026715802114;0.5008372319688109;0.3224405550532045
flat;smote-enn;0.30225867491831443;0.4709965886939571;0.30644014290694754
flat;smote-tomek;0.29523527143901795;0.46615497076023393;0.29978775667468927
