resampling_strategy;resampling_algorithm;hp;hr;hf
none;none;0.30631711994195887;0.3345087719298246;0.3094210063635632
flat;ros;0.37115274111577085;0.346212962962963;0.34603998006592507
flat;smote;0.3229782658447934;0.3650287524366472;0.32448444191484793
flat;borderline;0.2828484280758977;0.30691081871345033;0.28588235945630974
flat;adasyn;0.34909696554340713;0.36347027290448347;0.34334420887604417
flat;smote-enn;0.27389651103301754;0.30459064327485386;0.26664297954695176
flat;smote-tomek;0.3152390183819517;0.3546949317738792;0.3236741057109484
