class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.3333333333333333;0.4;0.3
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.1;0.16666666666666666;0.07222222222222222
R/Bacterial/Streptococcus;0.25666666666666665;0.35;0.23500000000000001
R/Fungal/Pneumocystis;0.10095238095238095;0.16666666666666666;0.07777777777777778
R/Lipoid/Non applicable;0.11666666666666665;0.2333333333333333;0.07777777777777777
R/Normal;0.1885689400371241;0.19666666666666666;0.18116666666666664
R/Viral/COVID-19;0.1015870973309568;0.12380952380952381;0.08651455026455027
R/Viral/SARS;0.20444444444444443;0.26666666666666666;0.16666666666666666
