class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333334;0.8;0.7
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.2;0.3;0.15
R/Bacterial/Streptococcus;0.26904761904761904;0.3333333333333333;0.22833333333333333
R/Fungal/Pneumocystis;0.09547619047619046;0.22999999999999998;0.06333333333333332
R/Lipoid/Non applicable;0.26;0.36666666666666664;0.20555555555555555
R/Normal;0.13503220341687366;0.1571428571428571;0.11840476190476193
R/Viral/COVID-19;0.07521124556962744;0.12380952380952381;0.054474728487886384
R/Viral/SARS;0.3911111111111111;0.5;0.34444444444444444
