class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.5333333333333334;0.6;0.5
R/Bacterial/Legionella;0.06666666666666667;0.1;0.05
R/Bacterial/Mycoplasma;0.39999999999999997;0.5;0.35
R/Bacterial/Streptococcus;0.3555555555555555;0.45;0.3
R/Fungal/Pneumocystis;0.08333333333333333;0.15;0.05833333333333333
R/Lipoid/Non applicable;0.36333333333333334;0.4666666666666666;0.32222222222222224
R/Normal;0.16609583608197864;0.17523809523809525;0.1580238095238095
R/Viral/COVID-19;0.05384565874698742;0.11388888888888889;0.03533625730994152
R/Viral/SARS;0.43666666666666665;0.5666666666666667;0.3833333333333333
