class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.8;0.8;0.8
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Bacterial/Streptococcus;0.061111111111111116;0.11666666666666665;0.043333333333333335
R/Fungal/Pneumocystis;0.0;0.0;0.0
R/Lipoid/Non applicable;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Normal;0.34381274352781666;0.4066666666666666;0.29843333333333333
R/Viral/COVID-19;0.0;0.0;0.0
R/Viral/SARS;0.30999999999999994;0.4666666666666666;0.23888888888888887
