class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333333;0.8;0.7
R/Bacterial/Legionella;0.06666666666666667;0.1;0.05
R/Bacterial/Mycoplasma;0.1;0.16666666666666666;0.07222222222222222
R/Bacterial/Streptococcus;0.022222222222222223;0.06666666666666667;0.013333333333333332
R/Fungal/Pneumocystis;0.0;0.0;0.0
R/Lipoid/Non applicable;0.11666666666666665;0.2333333333333333;0.07777777777777777
R/Normal;0.14593931121322024;0.16666666666666666;0.12983333333333333
R/Viral/COVID-19;0.0;0.0;0.0
R/Viral/SARS;0.27111111111111114;0.39999999999999997;0.21111111111111108
