class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.8666666666666666;0.9;0.85
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Bacterial/Streptococcus;0.11222222222222222;0.2333333333333333;0.07833333333333332
R/Fungal/Pneumocystis;0.0;0.0;0.0
R/Lipoid/Non applicable;0.13333333333333333;0.2333333333333333;0.09444444444444444
R/Normal;0.30026631473477716;0.35;0.26383333333333336
R/Viral/COVID-19;0.0;0.0;0.0
R/Viral/SARS;0.36111111111111116;0.5;0.31111111111111117
