class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6;0.7;0.55
R/Bacterial/Legionella;0.06666666666666667;0.1;0.05
R/Bacterial/Mycoplasma;0.31666666666666665;0.4;0.2833333333333333
R/Bacterial/Streptococcus;0.15999999999999998;0.35;0.10833333333333332
R/Fungal/Pneumocystis;0.07523809523809524;0.2033333333333333;0.047222222222222214
R/Lipoid/Non applicable;0.31333333333333335;0.36666666666666664;0.28888888888888886
R/Normal;0.17263562108614544;0.18523809523809526;0.16180476190476192
R/Viral/COVID-19;0.057151541022407173;0.11388888888888889;0.0382218567251462
R/Viral/SARS;0.3066666666666667;0.4;0.25
