class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6;0.6;0.6
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.4333333333333333;0.5666666666666667;0.37222222222222223
R/Bacterial/Streptococcus;0.24047619047619045;0.3666666666666666;0.18
R/Fungal/Pneumocystis;0.09047619047619046;0.19999999999999998;0.0611111111111111
R/Lipoid/Non applicable;0.18;0.26666666666666666;0.1388888888888889
R/Normal;0.16966066019863685;0.18;0.16056666666666666
R/Viral/COVID-19;0.06268993613802934;0.11111111111111112;0.04383771929824561
R/Viral/SARS;0.32571428571428573;0.4;0.27499999999999997
