class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333333;0.8;0.7
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.23333333333333334;0.26666666666666666;0.22222222222222224
R/Bacterial/Streptococcus;0.04857142857142858;0.1;0.0325
R/Fungal/Pneumocystis;0.0;0.0;0.0
R/Lipoid/Non applicable;0.15;0.26666666666666666;0.10555555555555556
R/Normal;0.28072899937620255;0.3333333333333333;0.24300000000000002
R/Viral/COVID-19;0.0;0.0;0.0
R/Viral/SARS;0.29333333333333333;0.41666666666666663;0.2347222222222222
