class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.3333333333333333;0.4;0.3
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.4133333333333333;0.5;0.36666666666666664
R/Bacterial/Streptococcus;0.20444444444444443;0.35;0.15083333333333332
R/Fungal/Pneumocystis;0.0819047619047619;0.22666666666666666;0.05111111111111111
R/Lipoid/Non applicable;0.31333333333333335;0.36666666666666664;0.28888888888888886
R/Normal;0.17331941504672305;0.18190476190476193;0.16558571428571428
R/Viral/COVID-19;0.061066909228380054;0.11388888888888889;0.04211135477582846
R/Viral/SARS;0.20238095238095238;0.3333333333333333;0.15277777777777776
