class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6;0.7;0.55
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.3466666666666667;0.4;0.31666666666666665
R/Bacterial/Streptococcus;0.31746031746031744;0.4666666666666666;0.2533333333333333
R/Fungal/Pneumocystis;0.10214285714285713;0.22333333333333333;0.06888888888888887
R/Lipoid/Non applicable;0.27666666666666667;0.4;0.21666666666666665
R/Normal;0.22505783703123558;0.22999999999999998;0.22035
R/Viral/COVID-19;0.07434414861301081;0.11111111111111112;0.056154970760233916
R/Viral/SARS;0.32571428571428573;0.4;0.27499999999999997
