resample_name,fold,HR_average,HF_average,HP_average
TESTE,0,0.3644067796610169,0.3644067796610169,0.3644067796610169
TESTE,1,0.3644067796610169,0.3644067796610169,0.3644067796610169
TESTE,2,0.3644067796610169,0.3644067796610169,0.3644067796610169
TESTE,3,0.3644067796610169,0.3644067796610169,0.3644067796610169
TESTE,4,0.3504273504273504,0.3504273504273504,0.3504273504273504
TESTE,TOTAL AVERAGE,0.3616108938142836,0.3616108938142836,0.3616108938142836
None,0,0.3644067796610169,0.3644067796610169,0.3644067796610169
None,1,0.3644067796610169,0.3644067796610169,0.3644067796610169
None,2,0.3644067796610169,0.3644067796610169,0.3644067796610169
None,3,0.3644067796610169,0.3644067796610169,0.3644067796610169
None,4,0.3504273504273504,0.3504273504273504,0.3504273504273504
None,TOTAL AVERAGE,0.3616108938142836,0.3616108938142836,0.3616108938142836
ros,0,0.3644067796610169,0.3644067796610169,0.3644067796610169
ros,1,0.3644067796610169,0.3644067796610169,0.3644067796610169
ros,2,0.3644067796610169,0.3644067796610169,0.3644067796610169
ros,3,0.3644067796610169,0.3644067796610169,0.3644067796610169
ros,4,0.3504273504273504,0.3504273504273504,0.3504273504273504
ros,TOTAL AVERAGE,0.3616108938142836,0.3616108938142836,0.3616108938142836
smote,0,0.3644067796610169,0.3644067796610169,0.3644067796610169
smote,1,0.3644067796610169,0.3644067796610169,0.3644067796610169
smote,2,0.3644067796610169,0.3644067796610169,0.3644067796610169
smote,3,0.3644067796610169,0.3644067796610169,0.3644067796610169
smote,4,0.3504273504273504,0.3504273504273504,0.3504273504273504
smote,TOTAL AVERAGE,0.3616108938142836,0.3616108938142836,0.3616108938142836
borderline,0,0.3644067796610169,0.3644067796610169,0.3644067796610169
borderline,1,0.3644067796610169,0.3644067796610169,0.3644067796610169
borderline,2,0.3644067796610169,0.3644067796610169,0.3644067796610169
borderline,3,0.3644067796610169,0.3644067796610169,0.3644067796610169
borderline,4,0.3504273504273504,0.3504273504273504,0.3504273504273504
borderline,TOTAL AVERAGE,0.3616108938142836,0.3616108938142836,0.3616108938142836
adasyn,0,0.3644067796610169,0.3644067796610169,0.3644067796610169
adasyn,1,0.3644067796610169,0.3644067796610169,0.3644067796610169
adasyn,2,0.3644067796610169,0.3644067796610169,0.3644067796610169
adasyn,3,0.3644067796610169,0.3644067796610169,0.3644067796610169
adasyn,4,0.3504273504273504,0.3504273504273504,0.3504273504273504
adasyn,TOTAL AVERAGE,0.3616108938142836,0.3616108938142836,0.3616108938142836
smote-enn,0,0.3644067796610169,0.3644067796610169,0.3644067796610169
smote-enn,1,0.3644067796610169,0.3644067796610169,0.3644067796610169
smote-enn,2,0.3644067796610169,0.3644067796610169,0.3644067796610169
smote-enn,3,0.3644067796610169,0.3644067796610169,0.3644067796610169
smote-enn,4,0.3504273504273504,0.3504273504273504,0.3504273504273504
smote-enn,TOTAL AVERAGE,0.3616108938142836,0.3616108938142836,0.3616108938142836
smote-tomek,TOTAL AVERAGE,nan,nan,nan
