class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333333;0.8;0.7
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.21333333333333332;0.3;0.16666666666666666
R/Bacterial/Streptococcus;0.3968253968253968;0.4833333333333333;0.35500000000000004
R/Fungal/Pneumocystis;0.08142857142857143;0.18;0.05333333333333333
R/Lipoid/Non applicable;0.29666666666666663;0.4666666666666666;0.22222222222222224
R/Normal;0.1441679901738859;0.16190476190476188;0.12995238095238096
R/Viral/COVID-19;0.06283769482375075;0.11666666666666665;0.043104593079922024
R/Viral/SARS;0.5;0.5666666666666667;0.4722222222222222
