class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.26666666666666666;0.3;0.25
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.4133333333333333;0.5;0.36666666666666664
R/Bacterial/Streptococcus;0.20523809523809522;0.36666666666666664;0.14666666666666667
R/Fungal/Pneumocystis;0.11261904761904762;0.20666666666666664;0.08277777777777777
R/Lipoid/Non applicable;0.08333333333333333;0.16666666666666666;0.05555555555555556
R/Normal;0.15648156616088152;0.16499999999999998;0.14882500000000004
R/Viral/COVID-19;0.09281021779935231;0.12301587301587302;0.07456166457811195
R/Viral/SARS;0.23333333333333334;0.4333333333333333;0.16111111111111112
