class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6666666666666667;0.7;0.65
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.4333333333333334;0.5666666666666667;0.37222222222222223
R/Bacterial/Streptococcus;0.10523809523809524;0.25;0.06749999999999999
R/Fungal/Pneumocystis;0.10825396825396824;0.2899999999999999;0.07055555555555555
R/Lipoid/Non applicable;0.38333333333333336;0.5333333333333333;0.32777777777777783
R/Normal;0.4290190463727579;0.4333333333333333;0.4248333333333333
R/Viral/COVID-19;0.10215242789866577;0.1257936507936508;0.08608404692286271
R/Viral/SARS;0.20777777777777778;0.3333333333333333;0.15555555555555553
