class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333333;0.8;0.7
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.2333333333333333;0.36666666666666664;0.17222222222222222
R/Bacterial/Streptococcus;0.06857142857142857;0.15;0.045
R/Fungal/Pneumocystis;0.011428571428571429;0.04;0.006666666666666666
R/Lipoid/Non applicable;0.06666666666666667;0.13333333333333333;0.04444444444444444
R/Normal;0.29340116550594036;0.35;0.25316666666666665
R/Viral/COVID-19;0.0;0.0;0.0
R/Viral/SARS;0.36111111111111105;0.5;0.3111111111111111
