class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.5333333333333334;0.6;0.5
R/Bacterial/Legionella;0.06666666666666667;0.1;0.05
R/Bacterial/Mycoplasma;0.48;0.6;0.41666666666666663
R/Bacterial/Streptococcus;0.2742857142857143;0.3833333333333333;0.22500000000000003
R/Fungal/Pneumocystis;0.06976190476190476;0.15666666666666668;0.04555555555555555
R/Lipoid/Non applicable;0.5;0.6;0.4666666666666667
R/Normal;0.208783125795796;0.21333333333333332;0.20443333333333333
R/Viral/COVID-19;0.07747985333095997;0.11388888888888889;0.058766142787524366
R/Viral/SARS;0.29333333333333333;0.4333333333333333;0.22777777777777777
