class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333333;0.8;0.7
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.1;0.16666666666666666;0.07222222222222222
R/Bacterial/Streptococcus;0.10238095238095238;0.15;0.08499999999999999
R/Fungal/Pneumocystis;0.0;0.0;0.0
R/Lipoid/Non applicable;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Normal;0.2723981369020997;0.31666666666666665;0.23925000000000002
R/Viral/COVID-19;0.0;0.0;0.0
R/Viral/SARS;0.3;0.4333333333333333;0.23888888888888887
