class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.4666666666666667;0.6;0.4
R/Bacterial/Legionella;0.2;0.2;0.2
R/Bacterial/Mycoplasma;0.14666666666666667;0.2;0.11666666666666665
R/Bacterial/Streptococcus;0.27515873015873016;0.3833333333333333;0.2208333333333333
R/Fungal/Pneumocystis;0.12873015873015872;0.25666666666666665;0.08833333333333333
R/Lipoid/Non applicable;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Normal;0.14863679684377326;0.16857142857142854;0.13306190476190477
R/Viral/COVID-19;0.08050613958949768;0.12658730158730158;0.0591532215956558
R/Viral/SARS;0.4444444444444445;0.4666666666666667;0.4333333333333333
