class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.39999999999999997;0.5;0.35
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.36666666666666664;0.4666666666666666;0.32222222222222224
R/Bacterial/Streptococcus;0.41904761904761906;0.5333333333333333;0.3716666666666667
R/Fungal/Pneumocystis;0.09047619047619046;0.23666666666666666;0.057222222222222216
R/Lipoid/Non applicable;0.3433333333333333;0.5;0.26666666666666666
R/Normal;0.1353043504297885;0.15714285714285714;0.11883333333333335
R/Viral/COVID-19;0.06916357173722472;0.11388888888888889;0.04967836257309942
R/Viral/SARS;0.32904761904761903;0.4666666666666666;0.2638888888888889
