class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6666666666666667;0.7;0.65
R/Bacterial/Legionella;0.06666666666666667;0.1;0.05
R/Bacterial/Mycoplasma;0.4133333333333333;0.5;0.36666666666666664
R/Bacterial/Streptococcus;0.26015873015873014;0.3733333333333333;0.20633333333333334
R/Fungal/Pneumocystis;0.10119047619047619;0.23666666666666666;0.06555555555555556
R/Lipoid/Non applicable;0.36666666666666664;0.4666666666666666;0.32222222222222224
R/Normal;0.19551817385914763;0.2066666666666667;0.18570000000000003
R/Viral/COVID-19;0.05113617986483262;0.11111111111111112;0.03339181286549708
R/Viral/SARS;0.3911111111111111;0.5;0.34444444444444444
