class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6;0.7;0.55
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.27999999999999997;0.4;0.21666666666666665
R/Bacterial/Streptococcus;0.3333333333333333;0.41666666666666663;0.2833333333333333
R/Fungal/Pneumocystis;0.03238095238095238;0.11333333333333333;0.01888888888888889
R/Lipoid/Non applicable;0.16333333333333333;0.26666666666666666;0.12222222222222223
R/Normal;0.14234571731314247;0.1638095238095238;0.12588095238095237
R/Viral/COVID-19;0.05655110169345591;0.11388888888888889;0.0382437865497076
R/Viral/SARS;0.5133333333333333;0.5666666666666667;0.48888888888888893
