class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.3333333333333333;0.5;0.25
R/Bacterial/Legionella;0.2;0.2;0.2
R/Bacterial/Mycoplasma;0.39999999999999997;0.5;0.35
R/Bacterial/Streptococcus;0.23301587301587304;0.39999999999999997;0.16666666666666669
R/Fungal/Pneumocystis;0.06976190476190476;0.2066666666666667;0.04277777777777778
R/Lipoid/Non applicable;0.19666666666666668;0.3;0.14999999999999997
R/Normal;0.18452731126022495;0.1933333333333333;0.17653333333333335
R/Viral/COVID-19;0.05366727865673806;0.11388888888888889;0.03572612085769981
R/Viral/SARS;0.36444444444444446;0.4666666666666666;0.3
