class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.06666666666666667;0.1;0.05
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.06666666666666667;0.1;0.05
R/Bacterial/Streptococcus;0.022222222222222223;0.06666666666666667;0.013333333333333332
R/Fungal/Pneumocystis;0.11666666666666665;0.26666666666666666;0.07777777777777777
R/Lipoid/Non applicable;0.15;0.26666666666666666;0.10555555555555556
R/Normal;0.264510078865078;0.2733333333333333;0.2562666666666667
R/Viral/COVID-19;0.11875993662219889;0.13690476190476192;0.10527216478696741
R/Viral/SARS;0.07666666666666666;0.16666666666666666;0.05
