class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.06666666666666667;0.1;0.05
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.23333333333333334;0.26666666666666666;0.22222222222222224
R/Bacterial/Streptococcus;0.18476190476190474;0.39999999999999997;0.12333333333333332
R/Fungal/Pneumocystis;0.1438095238095238;0.26666666666666666;0.10555555555555556
R/Lipoid/Non applicable;0.19666666666666668;0.3;0.15
R/Normal;0.16510546698614686;0.175;0.156375
R/Viral/COVID-19;0.10226763874191609;0.125;0.08658290692007797
R/Viral/SARS;0.22444444444444445;0.36666666666666664;0.16666666666666666
