;0;1;2;3;4;5;6
hf;0.2345788672543953;0.31979967720413904;0.3281949932301486;0.2949391506484005;0.30247391771838994;0.3339679165266731;0.3360396528113749
hf;0.2652764703153583;0.3047884971901258;0.3234864081833675;0.280172879788476;0.32511308093351193;0.32837215896644256;0.3166550161381668
hf;0.3139578702531368;0.2816964513214402;0.30299313165230984;0.3002787643891469;0.3081244637582892;0.3012588610450184;0.34277659464048715
hf;0.3255290034747187;0.27275941030939105;0.29819944922316666;0.29068158356144963;0.28600329267665675;0.30294332373492805;0.3029518621311193
hf;0.3315835665361581;0.2783907134930915;0.31142642521884456;0.31958957369358465;0.32820972604761306;0.3402706825073437;0.30894733396222346
hf;0.2767253122451094;0.3227234561407845;0.3003277216110441;0.32751595230134345;0.3221926871234188;0.3082963472354414;0.2817309436997416
hf;0.27397481617549313;0.3303616670062149;0.320886213065141;0.32005111916288154;0.3124278427468549;0.3060382865487985;0.29457468052393937
hf;0.2759792999925521;0.3295831876995509;0.2849363268095569;0.3599854566690435;0.3167035500669298;0.3260218996729584;0.3258446613408554
hf;0.3094210063635632;0.3460399800659251;0.32448444191484793;0.2858823594563097;0.34334420887604417;0.26664297954695176;0.3236741057109484
hf;0.29066272657315706;0.28485948254585186;0.3197346341461852;0.2714626553412153;0.33688927932963497;0.3401198299443394;0.33712395966500297
hf;0.3132888054000187;0.3126533575409135;0.3224180918966262;0.2918174883885455;0.29067339136678394;0.27942663764659176;0.2935205142655413
hf;0.3228099745763136;0.29800375409678337;0.2863496757388316;0.2634786949007937;0.2922680118653713;0.2612223000714037;0.28325295749744284
hf;0.2671327704658275;0.288264547002184;0.2966574011862639;0.32635581863185364;0.3247263244629946;0.27404187199064645;0.3091832963003466
hf;0.31906510751532524;0.2982013470665993;0.32164351793439866;0.32261936460416546;0.29875396225713924;0.3027160656018198;0.3283358423186563
hf;0.29615339655740763;0.31067331404627485;0.2867503820700893;0.32280873518557673;0.3345728701393587;0.3288768098541477;0.3239023870470598
hf;0.30132234161285754;0.31040197749041176;0.3409450330603033;0.2528325483201496;0.3293552061964988;0.3318919666414336;0.28654236038498604
hf;0.2879015722471777;0.2731084511048444;0.3042734508588015;0.33757375382582105;0.320756107903013;0.3194239029778201;0.3054164541265572
hf;0.2989832434257501;0.3175615195607877;0.2858138372969453;0.3335176173050102;0.32358319726054585;0.3333279413429711;0.3389604558678768
hf;0.3022088966401202;0.3213347412914251;0.2895789401545512;0.3002031657687185;0.3343064078210708;0.2969284682932428;0.3002904742390465
hf;0.3131630406260421;0.31679568014944204;0.3025107926597739;0.30470118532911994;0.3203162111770386;0.35721765852822784;0.31086709685418723
