class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6666666666666667;0.7;0.65
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.4333333333333333;0.4666666666666667;0.4222222222222222
R/Bacterial/Streptococcus;0.3384920634920635;0.4333333333333333;0.2816666666666667
R/Fungal/Pneumocystis;0.07261904761904761;0.21666666666666665;0.04444444444444444
R/Lipoid/Non applicable;0.22666666666666666;0.3;0.1833333333333333
R/Normal;0.1947066340331196;0.2033333333333333;0.18688333333333335
R/Viral/COVID-19;0.06430392313384255;0.11666666666666665;0.0447468932748538
R/Viral/SARS;0.54;0.6333333333333333;0.5055555555555556
