class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.4;0.5;0.35
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.26666666666666666;0.3;0.25
R/Bacterial/Streptococcus;0.33976190476190476;0.4333333333333333;0.30333333333333334
R/Fungal/Pneumocystis;0.0419047619047619;0.14666666666666667;0.024444444444444442
R/Lipoid/Non applicable;0.14666666666666667;0.2;0.11666666666666665
R/Normal;0.2266865421422795;0.23666666666666666;0.21761666666666665
R/Viral/COVID-19;0.06055694688906368;0.11944444444444444;0.04401102582846003
R/Viral/SARS;0.29333333333333333;0.41666666666666663;0.2347222222222222
