class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.39999999999999997;0.5;0.35
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Bacterial/Streptococcus;0.26666666666666666;0.35;0.22000000000000003
R/Fungal/Pneumocystis;0.1472222222222222;0.24999999999999994;0.10555555555555554
R/Lipoid/Non applicable;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Normal;0.15334628919048346;0.1733333333333333;0.13756666666666667
R/Viral/COVID-19;0.08211722740633379;0.12658730158730158;0.06087754107490949
R/Viral/SARS;0.4333333333333333;0.4666666666666667;0.4222222222222222
