class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.4666666666666666;0.6;0.4
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.4133333333333333;0.5;0.36666666666666664
R/Bacterial/Streptococcus;0.17904761904761904;0.2833333333333333;0.14166666666666666
R/Fungal/Pneumocystis;0.11428571428571428;0.2833333333333333;0.075
R/Lipoid/Non applicable;0.29666666666666663;0.4666666666666666;0.22222222222222218
R/Normal;0.38063147710255424;0.3833333333333333;0.378
R/Viral/COVID-19;0.0984866771740214;0.12301587301587302;0.08217688318017265
R/Viral/SARS;0.16666666666666666;0.3333333333333333;0.11111111111111112
