class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.06666666666666667;0.1;0.05
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Bacterial/Streptococcus;0.08380952380952382;0.16666666666666666;0.056666666666666664
R/Fungal/Pneumocystis;0.11738095238095236;0.25666666666666665;0.07888888888888888
R/Lipoid/Non applicable;0.11666666666666665;0.2333333333333333;0.07777777777777778
R/Normal;0.16737865758281117;0.17523809523809525;0.16028571428571428
R/Viral/COVID-19;0.09590375074725568;0.11666666666666665;0.08145985623781676
R/Viral/SARS;0.19;0.3333333333333333;0.1388888888888889
