class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6666666666666666;0.7;0.65
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.0;0.0;0.0
R/Bacterial/Streptococcus;0.35555555555555557;0.45;0.3166666666666667
R/Fungal/Pneumocystis;0.1368253968253968;0.2733333333333333;0.09555555555555555
R/Lipoid/Non applicable;0.18;0.26666666666666666;0.1388888888888889
R/Normal;0.12978935258896085;0.15238095238095237;0.11316666666666667
R/Viral/COVID-19;0.07694596976476172;0.12777777777777777;0.05560185185185185
R/Viral/SARS;0.4666666666666667;0.5333333333333333;0.4444444444444445
