class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333333;0.8;0.7
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.39999999999999997;0.5;0.35
R/Bacterial/Streptococcus;0.29714285714285715;0.4333333333333333;0.24
R/Fungal/Pneumocystis;0.07285714285714287;0.18;0.04666666666666667
R/Lipoid/Non applicable;0.13333333333333333;0.2333333333333333;0.09444444444444444
R/Normal;0.14516517211944943;0.16190476190476188;0.13164285714285714
R/Viral/COVID-19;0.059121081707781006;0.11111111111111112;0.040363060428849906
R/Viral/SARS;0.45999999999999996;0.5666666666666667;0.40555555555555556
