class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6666666666666667;0.7;0.65
R/Bacterial/Legionella;0.06666666666666667;0.1;0.05
R/Bacterial/Mycoplasma;0.4;0.4;0.4
R/Bacterial/Streptococcus;0.23611111111111108;0.3333333333333333;0.18333333333333332
R/Fungal/Pneumocystis;0.1342063492063492;0.24666666666666665;0.095
R/Lipoid/Non applicable;0.1833333333333333;0.3;0.13333333333333333
R/Normal;0.2372040342033685;0.24666666666666665;0.22881666666666667
R/Viral/COVID-19;0.06163106493003349;0.11944444444444444;0.042791788499025346
R/Viral/SARS;0.32000000000000006;0.45;0.2791666666666667
