class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.3333333333333333;0.5;0.25
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.48;0.5;0.4666666666666667
R/Bacterial/Streptococcus;0.26317460317460317;0.4;0.2125
R/Fungal/Pneumocystis;0.08785714285714286;0.21000000000000002;0.056666666666666664
R/Lipoid/Non applicable;0.31666666666666665;0.4;0.2833333333333333
R/Normal;0.17259186266320675;0.18047619047619048;0.1655047619047619
R/Viral/COVID-19;0.06148481698495752;0.11388888888888889;0.04282285575048733
R/Viral/SARS;0.3466666666666667;0.4666666666666666;0.2833333333333333
