class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6;0.7;0.55
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.6;0.7;0.55
R/Bacterial/Streptococcus;0.2115873015873016;0.35;0.16166666666666668
R/Fungal/Pneumocystis;0.12253968253968253;0.20666666666666664;0.09
R/Lipoid/Non applicable;0.38;0.4666666666666666;0.3388888888888889
R/Normal;0.20747052487686007;0.21333333333333332;0.20193333333333335
R/Viral/COVID-19;0.07134837166121867;0.11111111111111112;0.05264619883040935
R/Viral/SARS;0.33333333333333337;0.41666666666666663;0.3013888888888889
