class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.7333333333333333;0.8;0.7
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.6133333333333333;0.7;0.5666666666666667
R/Bacterial/Streptococcus;0.23111111111111113;0.3333333333333333;0.19333333333333333
R/Fungal/Pneumocystis;0.16976190476190475;0.2899999999999999;0.12333333333333332
R/Lipoid/Non applicable;0.34666666666666673;0.4333333333333333;0.3111111111111111
R/Normal;0.20893265840624703;0.21333333333333332;0.20473333333333335
R/Viral/COVID-19;0.07926502616157788;0.11666666666666665;0.06024214181286549
R/Viral/SARS;0.27904761904761904;0.36666666666666664;0.23055555555555554
