class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.8;0.8;0.8
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.03333333333333333;0.06666666666666667;0.02222222222222222
R/Bacterial/Streptococcus;0.07190476190476192;0.16666666666666666;0.04666666666666667
R/Fungal/Pneumocystis;0.0;0.0;0.0
R/Lipoid/Non applicable;0.06666666666666667;0.13333333333333333;0.04444444444444444
R/Normal;0.2873190361894373;0.3333333333333333;0.2529166666666667
R/Viral/COVID-19;0.0;0.0;0.0
R/Viral/SARS;0.2633333333333333;0.4333333333333333;0.19444444444444448
