class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.06666666666666667;0.1;0.05
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.13333333333333333;0.2;0.1
R/Bacterial/Streptococcus;0.022222222222222223;0.06666666666666667;0.013333333333333332
R/Fungal/Pneumocystis;0.052380952380952375;0.13333333333333333;0.03333333333333333
R/Lipoid/Non applicable;0.21666666666666665;0.36666666666666664;0.15555555555555556
R/Normal;0.2848622619541371;0.29;0.27995000000000003
R/Viral/COVID-19;0.11418688345316638;0.13293650793650796;0.10015529274575326
R/Viral/SARS;0.06666666666666667;0.13333333333333333;0.04444444444444444
