class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.6;0.7;0.55
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.5666666666666667;0.6666666666666667;0.5222222222222223
R/Bacterial/Streptococcus;0.27904761904761904;0.39999999999999997;0.22166666666666668
R/Fungal/Pneumocystis;0.11190476190476191;0.25;0.075
R/Lipoid/Non applicable;0.29333333333333333;0.4;0.2333333333333333
R/Normal;0.23343371919645456;0.24;0.22725
R/Viral/COVID-19;0.08054488462051487;0.11388888888888889;0.06239035087719298
R/Viral/SARS;0.22444444444444445;0.3666666666666666;0.16666666666666666
