class_name;hf;hp;hr
R/Bacterial/Klebsiella;0.26666666666666666;0.3;0.25
R/Bacterial/Legionella;0.0;0.0;0.0
R/Bacterial/Mycoplasma;0.1;0.16666666666666666;0.07222222222222222
R/Bacterial/Streptococcus;0.14666666666666667;0.31666666666666665;0.09999999999999999
R/Fungal/Pneumocystis;0.12857142857142856;0.25;0.09166666666666666
R/Lipoid/Non applicable;0.27999999999999997;0.3;0.26666666666666666
R/Normal;0.1832086533427313;0.19166666666666665;0.17554166666666665
R/Viral/COVID-19;0.09880444205468855;0.11944444444444444;0.08438505116959065
R/Viral/SARS;0.24;0.4333333333333333;0.17222222222222222
